Facility ID,Facility Name,Address,City/Town,State,ZIP Code,County/Parish,Telephone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for birthing friendly designation,Hospital overall rating,Hospital overall rating footnote,MORT Group Measure Count,Count of Facility MORT Measures,Count of MORT Measures Better,Count of MORT Measures No Different,Count of MORT Measures Worse,MORT Group Footnote,Safety Group Measure Count,Count of Facility Safety Measures,Count of Safety Measures Better,Count of Safety Measures No Different,Count of Safety Measures Worse,Safety Group Footnote,READM Group Measure Count,Count of Facility READM Measures,Count of READM Measures Better,Count of READM Measures No Different,Count of READM Measures Worse,READM Group Footnote,Pt Exp Group Measure Count,Count of Facility Pt Exp Measures,Pt Exp Group Footnote,TE Group Measure Count,Count of Facility TE Measures,TE Group Footnote
050300,PROVIDENCE ST MARY MEDICAL CENTER,18300 HIGHWAY 18,APPLE VALLEY,CA,92307,SAN BERNARDINO,(760) 242-2311,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,,8,7,0,7,0,,8,7,1,6,0,,11,8,0,5,3,,15,15,,10,7,
050301,ADVENTIST HEALTH UKIAH VALLEY,275 HOSPITAL DRIVE,UKIAH,CA,95482,MENDOCINO,(707) 462-3111,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,,8,5,0,5,0,,8,4,0,4,0,,11,8,0,8,0,,15,15,,10,8,
050305,ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP,2450 ASHBY AVENUE,BERKELEY,CA,94705,ALAMEDA,(510) 204-4444,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,,8,7,2,5,0,,8,7,2,5,0,,11,9,2,6,1,,15,15,,10,8,
050308,EL CAMINO HEALTH,2500 GRANT ROAD,MOUNTAIN VIEW,CA,94040,SANTA CLARA,(650) 940-7000,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,4,,8,8,3,5,0,,8,8,3,5,0,,11,11,1,9,1,,15,15,,10,9,
050309,SUTTER ROSEVILLE MEDICAL CENTER,ONE MEDICAL PLAZA,ROSEVILLE,CA,95661,PLACER,(916) 781-1000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,5,,8,7,2,5,0,,8,7,5,1,1,,11,10,2,7,1,,15,15,,10,6,
05030F,VA N CALIFORNIA HEALTHCARE SYSTEM,10535 HOSPITAL WAY,MATHER,CA,95655,SACRAMENTO,(800) 382-8387,Acute Care - Veterans Administration,Veterans Health Administration,Yes,,4,,8,5,0,5,0,,8,3,0,3,0,,11,4,0,2,2,,15,10,,10,5,
050313,SUTTER TRACY COMMUNITY HOSPITAL,1420 NORTH TRACY BLVD,TRACY,CA,95376,SAN JOAQUIN,(209) 835-1500,Acute Care Hospitals,Proprietary,Yes,Y,4,,8,5,0,5,0,,8,5,1,4,0,,11,7,2,5,0,,15,15,,10,10,
050315,KERN MEDICAL CENTER,1700 MOUNT VERNON AVENUE,BAKERSFIELD,CA,93306,KERN,(661) 326-2000,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,1,,8,4,0,4,0,,8,7,1,6,0,,11,7,0,7,0,,15,15,,10,7,
05031F,PALO ALTO VA MEDICAL CENTER,3801 MIRANDA AVENUE,PALO ALTO,CA,94304,SANTA CLARA,(650) 858-3939,Acute Care - Veterans Administration,Veterans Health Administration,Yes,,5,,8,5,1,4,0,,8,4,0,4,0,,11,6,0,5,1,,15,10,,10,5,
050320,HIGHLAND HOSPITAL,1411 EAST 31ST STREET,OAKLAND,CA,94602,ALAMEDA,(510) 437-4800,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,1,,8,7,0,7,0,,8,6,0,5,1,,11,9,0,6,3,,15,15,,10,10,
050324,SCRIPPS MEMORIAL HOSPITAL LA JOLLA,9888 GENESEE AVENUE,LA JOLLA,CA,92037,SAN DIEGO,(858) 626-4123,Acute Care Hospitals,Physician,Yes,Y,5,,8,8,4,4,0,,8,8,3,4,1,,11,9,2,6,1,,15,15,,10,9,
050327,LOMA LINDA UNIVERSITY MEDICAL CENTER,11234 ANDERSON ST,LOMA LINDA,CA,92354,SAN BERNARDINO,(909) 558-4000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,4,,8,8,0,8,0,,8,7,5,2,0,,11,10,0,8,2,,15,15,,10,8,
050329,CORONA REGIONAL MEDICAL CENTER,800 SOUTH MAIN STREET,CORONA,CA,92882,RIVERSIDE,(951) 736-6240,Acute Care Hospitals,Proprietary,Yes,Y,3,,8,6,0,6,0,,8,5,1,4,0,,11,6,1,4,1,,15,15,,10,8,
050334,SALINAS VALLEY MEMORIAL HOSPITAL,450 EAST ROMIE LANE,SALINAS,CA,93901,MONTEREY,(831) 757-4333,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,4,,8,8,1,7,0,,8,6,1,5,0,,11,10,0,9,1,,15,15,,10,9,
050335,ADVENTIST HEALTH SONORA,1000 GREENLEY ROAD,SONORA,CA,95370,TUOLUMNE,(209) 536-5000,Acute Care Hospitals,Voluntary non-profit - Church,No,Y,3,,8,7,0,7,0,,8,4,0,4,0,,11,9,1,7,1,,15,15,,10,10,
050336,ADVENTIST HEALTH LODI MEMORIAL,975 S FAIRMONT AVENUE,LODI,CA,95240,SAN JOAQUIN,(209) 334-3411,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,3,,8,7,0,7,0,,8,6,0,6,0,,11,6,1,3,2,,15,15,,10,8,
050342,PIONEERS MEMORIAL HEALTHCARE DISTRICT,207 WEST LEGION ROAD,BRAWLEY,CA,92227,IMPERIAL,(760) 351-3333,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,3,,8,5,0,5,0,,8,3,1,2,0,,11,8,0,7,1,,15,15,,10,7,
050348,UCI HEALTH-ORANGE,101 CITY DRIVE SOUTH,ORANGE,CA,92868,ORANGE,(714) 456-7890,Acute Care Hospitals,Government - Local,Yes,Y,4,,8,8,3,5,0,,8,8,4,4,0,,11,11,2,7,2,,15,15,,10,9,
050350,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO,309 W BEVERLY BLVD,MONTEBELLO,CA,90640,LOS ANGELES,(323) 726-1222,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,3,,8,5,1,4,0,,8,2,0,1,1,,11,5,0,5,0,,15,Not Available,5.0,10,3,
050351,TORRANCE MEMORIAL MEDICAL CENTER,3330 LOMITA BLVD,TORRANCE,CA,90509,LOS ANGELES,(310) 325-9110,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,5,,8,8,3,5,0,,8,8,3,4,1,,11,11,0,8,3,,15,15,,10,9,
050352,BARTON MEMORIAL HOSPITAL,2170 SOUTH AVENUE,SOUTH LAKE TAHOE,CA,96150,EL DORADO,(530) 541-3000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,,8,3,0,3,0,,8,2,0,2,0,,11,5,1,3,1,,15,15,,10,8,
050353,PROVIDENCE LITTLE COMPANY OF MARY MED CTR TORRANCE,4101 TORRANCE BLVD,TORRANCE,CA,90503,LOS ANGELES,(310) 540-7676,Acute Care Hospitals,Voluntary non-profit - Church,No,Y,5,,8,8,0,8,0,,8,8,3,5,0,,11,9,0,8,1,,15,15,,10,9,
050357,GOLETA VALLEY COTTAGE HOSPITAL,351 S PATTERSON AVE,SANTA BARBARA,CA,93111,SANTA BARBARA,(805) 967-3411,Acute Care Hospitals,Voluntary non-profit - Other,Yes,,5,,8,3,0,3,0,,8,3,0,3,0,,11,5,1,3,1,,15,15,,10,6,
050360,MARINHEALTH MEDICAL CENTER,250 BON AIR ROAD,GREENBRAE,CA,94904,MARIN,(415) 925-7900,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,5,,8,8,2,6,0,,8,7,1,6,0,,11,11,3,8,0,,15,15,,10,10,
050367,NORTHBAY MEDICAL CENTER,1200 B  GALE WILSON BLVD,FAIRFIELD,CA,94533,SOLANO,(707) 646-5000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,,8,8,0,8,0,,8,7,1,6,0,,11,11,0,8,3,,15,15,,10,8,
050373,LOS ANGELES GENERAL MEDICAL CENTER,"2051 MARENGO ST, ROOM C2K100",LOS ANGELES,CA,90033,LOS ANGELES,(323) 226-2800,Acute Care Hospitals,Government - Local,Yes,Y,2,,8,7,0,7,0,,8,7,3,4,0,,11,7,0,6,1,,15,15,,10,8,
050376,LAC/HARBOR-UCLA MED CENTER,1000 W CARSON ST,TORRANCE,CA,90509,LOS ANGELES,(310) 222-2345,Acute Care Hospitals,Government - Local,Yes,Y,1,,8,7,0,7,0,,8,7,1,5,1,,11,7,0,6,1,,15,15,,10,6,
050378,PACIFICA HOSPITAL OF THE VALLEY,9449 SAN FERNANDO RD,SUN VALLEY,CA,91352,LOS ANGELES,(818) 767-3310,Acute Care Hospitals,Proprietary,Yes,,Not Available,16,8,1,0,1,0,,8,4,0,4,0,,11,1,0,1,0,,15,Not Available,5.0,10,5,
050380,GOOD SAMARITAN HOSPITAL,2425 SAMARITAN DRIVE,SAN JOSE,CA,95124,SANTA CLARA,(408) 559-2011,Acute Care Hospitals,Proprietary,Yes,Y,2,,8,8,0,8,0,,8,8,1,6,1,,11,9,0,5,4,,15,15,,10,7,
050382,EMANATE HEALTH INTER-COMMUNITY HOSPITAL,210 W  SAN BERNARDINO ROAD,COVINA,CA,91723,LOS ANGELES,(626) 814-2468,Acute Care Hospitals,Proprietary,Yes,Y,1,,8,8,0,6,2,,8,7,3,4,0,,11,9,0,7,2,,15,15,,10,8,
050390,HEMET GLOBAL MEDICAL CENTER,1117 EAST DEVONSHIRE,HEMET,CA,92543,RIVERSIDE,(951) 652-2811,Acute Care Hospitals,Proprietary,Yes,Y,1,,8,4,0,4,0,,8,6,3,3,0,,11,4,0,3,1,,15,15,,10,5,
050393,PIH HEALTH DOWNEY HOSPITAL,11500 BROOKSHIRE AVENUE,DOWNEY,CA,90241,LOS ANGELES,(562) 904-5000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,4,,8,6,1,5,0,,8,6,1,5,0,,11,6,0,4,2,,15,15,,10,6,
050394,COMMUNITY MEMORIAL HOSPITAL - VENTURA,147 NORTH BRENT STREET,VENTURA,CA,93003,VENTURA,(805) 652-5011,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,,8,8,0,8,0,,8,7,1,6,0,,11,11,0,11,0,,15,15,,10,10,
050396,SANTA BARBARA COTTAGE HOSPITAL,400 WEST PUEBLO,SANTA BARBARA,CA,93105,SANTA BARBARA,(805) 682-7111,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,,8,8,2,6,0,,8,8,2,5,1,,11,11,1,8,2,,15,15,,10,10,
05039F,NH Twentynine Palms,1145 Sturgis Rd,Twentynine Palms,CA,92278,SAN BERNARDINO,(760) 830-2190,Acute Care - Department of Defense,Department of Defense,Yes,,Not Available,22,Not Available,Not Available,Not Available,Not Available,Not Available,22.0,Not Available,Not Available,Not Available,Not Available,Not Available,22.0,Not Available,Not Available,Not Available,Not Available,Not Available,22.0,Not Available,Not Available,22.0,Not Available,Not Available,22.0
050407,CHINESE HOSPITAL,845 JACKSON ST,SAN FRANCISCO,CA,94133,SAN FRANCISCO,(415) 982-2400,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,2,,8,5,0,5,0,,8,2,0,2,0,,11,8,0,7,1,,15,15,,10,7,
050411,KAISER FOUNDATION HOSPITAL - SOUTH BAY,25825 SOUTH VERMONT AVENUE,HARBOR CITY,CA,90710,LOS ANGELES,(310) 325-5111,Acute Care Hospitals,Voluntary non-profit - Other,No,Y,3,,8,1,0,1,0,,8,6,1,5,0,,11,1,0,1,0,,15,15,,10,4,
050414,MERCY HOSPITAL OF FOLSOM,1650 CREEKSIDE DRIVE,FOLSOM,CA,95630,SACRAMENTO,(916) 983-7400,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,,8,7,0,7,0,,8,7,1,6,0,,11,7,0,5,2,,15,15,,10,7,
050417,SUTTER COAST HOSPITAL,800 E WASHINGTON BLVD,CRESCENT CITY,CA,95531,DEL NORTE,(707) 464-8511,Acute Care Hospitals,Government - Hospital District or Authority,No,Y,2,,8,5,0,4,1,,8,4,0,4,0,,11,9,0,7,2,,15,15,,10,7,
05041F,Weed ACH (FT Irwin),390 N Loop Rd,Fort Irwin,CA,92310,SAN BERNARDINO,(866) 957-9224,Acute Care - Department of Defense,Department of Defense,Yes,,Not Available,22,Not Available,Not Available,Not Available,Not Available,Not Available,22.0,Not Available,Not Available,Not Available,Not Available,Not Available,22.0,Not Available,Not Available,Not Available,Not Available,Not Available,22.0,Not Available,Not Available,22.0,Not Available,Not Available,22.0
050424,SCRIPPS GREEN HOSPITAL,10666 NORTH TORREY PINES ROAD,LA JOLLA,CA,92037,SAN DIEGO,(858) 554-3600,Acute Care Hospitals,Voluntary non-profit - Other,No,,5,,8,6,1,5,0,,8,7,3,4,0,,11,7,3,3,1,,15,15,,10,5,
050425,KAISER FOUNDATION HOSPITAL - SACRAMENTO,2025 MORSE AVENUE,SACRAMENTO,CA,95825,SACRAMENTO,(916) 973-5000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,4,,8,4,0,4,0,,8,7,1,6,0,,11,3,0,3,0,,15,15,,10,4,
050426,WEST ANAHEIM MEDICAL CENTER,3033 W ORANGE AVENUE,ANAHEIM,CA,92804,ORANGE,(714) 827-3000,Acute Care Hospitals,Proprietary,Yes,,2,,8,6,0,6,0,,8,6,1,5,0,,11,5,0,1,4,,15,10,,10,7,
050438,HUNTINGTON HOSPITAL,100 W  CALIFORNIA BLVD,PASADENA,CA,91109,LOS ANGELES,(626) 397-5000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,Not Available,11,8,8,2,6,0,,8,Not Available,Not Available,Not Available,Not Available,11.0,11,9,1,6,2,,15,15,,10,8,
050441,STANFORD HEALTH CARE,300 PASTEUR DRIVE,STANFORD,CA,94305,SANTA CLARA,(650) 723-4000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,5,,8,8,5,3,0,,8,8,3,5,0,,11,11,2,5,4,,15,15,,10,10,
050444,MERCY MEDICAL CENTER,333 MERCY AVENUE,MERCED,CA,95340,MERCED,(209) 564-5000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,,8,6,0,5,1,,8,6,3,3,0,,11,9,0,7,2,,15,15,,10,8,
050454,UCSF MEDICAL CENTER,"505 PARNASSUS AVE, BOX 0296",SAN FRANCISCO,CA,94143,SAN FRANCISCO,(415) 353-2733,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,4,,8,8,5,3,0,,8,8,3,5,0,,11,11,3,5,3,,15,15,,10,9,
050455,ADVENTIST HEALTH BAKERSFIELD,2615 CHESTER AVENUE,BAKERSFIELD,CA,93301,KERN,(661) 395-3000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,,8,7,0,5,2,,8,6,1,5,0,,11,9,0,6,3,,15,15,,10,10,
050457,UCSF HEALTH ST. MARY'S HOSPITAL,450 STANYAN ST,SAN FRANCISCO,CA,94117,SAN FRANCISCO,(415) 668-1000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,4,,8,7,2,5,0,,8,6,1,5,0,,11,9,0,9,0,,15,15,,10,8,
050464,DOCTORS MEDICAL CENTER,1441 FLORIDA AVENUE,MODESTO,CA,95350,STANISLAUS,(209) 578-1211,Acute Care Hospitals,Proprietary,Yes,Y,1,,8,8,0,8,0,,8,6,2,3,1,,11,8,0,5,3,,15,15,,10,9,
050468,MEMORIAL HOSPITAL OF GARDENA,1145 W REDONDO BEACH BLVD,GARDENA,CA,90247,LOS ANGELES,(310) 532-4200,Acute Care Hospitals,Proprietary,Yes,,1,,8,5,1,4,0,,8,5,1,4,0,,11,4,0,3,1,,15,15,,10,6,
050471,PIH HEALTH GOOD SAMARITAN HOSPITAL,1225 WILSHIRE BOULEVARD,LOS ANGELES,CA,90017,LOS ANGELES,(213) 977-2121,Acute Care Hospitals,Proprietary,No,Y,2,,8,8,0,8,0,,8,7,2,5,0,,11,9,0,6,3,,15,15,,10,7,
050481,UCLA WEST VALLEY MEDICAL CENTER,7300 MEDICAL CENTER DR,WEST HILLS,CA,91307,LOS ANGELES,(818) 676-4000,Acute Care Hospitals,Proprietary,Yes,,2,,8,8,1,7,0,,8,7,0,7,0,,11,8,0,5,3,,15,15,,10,6,
050485,MEMORIALCARE LONG BEACH MEDICAL CENTER,2801 ATLANTIC AVE,LONG BEACH,CA,90806,LOS ANGELES,(562) 933-2000,Acute Care Hospitals,Voluntary non-profit - Other,No,,2,,8,8,0,8,0,,8,8,1,7,0,,11,11,0,10,1,,15,15,,10,9,
050488,EDEN MEDICAL CENTER,20103 LAKE CHABOT ROAD,CASTRO VALLEY,CA,94546,ALAMEDA,(510) 537-1234,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,4,,8,7,0,7,0,,8,7,2,5,0,,11,7,0,7,0,,15,15,,10,7,
050492,CLOVIS COMMUNITY MEDICAL CENTER,2755 HERNDON AVE,CLOVIS,CA,93611,FRESNO,(559) 324-4000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,,8,8,1,7,0,,8,7,0,6,1,,11,11,1,9,1,,15,15,,10,8,
050496,JOHN MUIR MEDICAL CENTER - CONCORD CAMPUS,2540 EAST ST,CONCORD,CA,94520,CONTRA COSTA,(925) 682-8200,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,4,,8,8,2,6,0,,8,7,0,7,0,,11,11,1,9,1,,15,15,,10,9,
050498,SUTTER AUBURN FAITH HOSPITAL,11815 EDUCATION STREET,AUBURN,CA,95603,PLACER,(530) 888-4500,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,5,,8,6,0,6,0,,8,5,1,4,0,,11,9,3,6,0,,15,15,,10,9,
050503,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS,354 SANTA FE DRIVE,ENCINITAS,CA,92024,SAN DIEGO,(760) 753-6501,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,,8,7,3,4,0,,8,7,1,6,0,,11,8,3,4,1,,15,15,,10,9,
050506,ADVENTIST HEALTH SIERRA VISTA,1010 MURRAY ST,SAN LUIS OBISPO,CA,93405,SAN LUIS OBISPO,(850) 546-7600,Acute Care Hospitals,Proprietary,Yes,Y,3,,8,6,0,6,0,,8,6,1,5,0,,11,7,1,5,1,,15,15,,10,8,
050510,KAISER FOUNDATION HOSPITAL,99 MONTECILLO RD,SAN RAFAEL,CA,94903,MARIN,(415) 444-2000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,4,,8,1,0,1,0,,8,5,0,4,1,,11,1,0,1,0,,15,15,,10,3,
050512,KAISER FOUNDATION HOSPITAL - FREMONT,39400 PASEO PADRE PKWY,FREMONT,CA,94538,ALAMEDA,(510) 784-4000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,4,,8,1,0,1,0,,8,5,1,4,0,,11,1,0,1,0,,15,15,,10,4,
050515,KAISER FOUNDATION HOSPITAL - SAN DIEGO,4647 ZION AVE,SAN DIEGO,CA,92120,SAN DIEGO,(619) 528-5000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,,8,2,0,2,0,,8,6,3,3,0,,11,3,0,3,0,,15,15,,10,4,
050516,MERCY SAN JUAN MEDICAL CENTER,6501 COYLE AVE,CARMICHAEL,CA,95608,SACRAMENTO,(916) 537-5000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,,8,8,0,8,0,,8,7,2,5,0,,11,11,1,8,2,,15,15,,10,8,
050517,VICTOR VALLEY GLOBAL MEDICAL CENTER,15248 11TH ST,VICTORVILLE,CA,92395,SAN BERNARDINO,(760) 245-8691,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,1,,8,3,0,3,0,,8,6,0,6,0,,11,7,0,5,2,,15,15,,10,5,
050523,SUTTER DELTA MEDICAL CENTER,3901 LONE TREE WAY,ANTIOCH,CA,94509,CONTRA COSTA,(925) 779-7200,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,,8,7,0,7,0,,8,6,1,5,0,,11,7,0,5,2,,15,15,,10,8,
050526,HUNTINGTON BEACH HOSPITAL,17772 BEACH BLVD,HUNTINGTON BEACH,CA,92647,ORANGE,(714) 843-5000,Acute Care Hospitals,Proprietary,Yes,,1,,8,3,0,3,0,,8,3,0,3,0,,11,3,0,1,2,,15,10,,10,6,
050528,MEMORIAL HOSPITAL LOS BANOS,520 WEST I ST,LOS BANOS,CA,93635,MERCED,(209) 826-0591,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,,8,4,0,4,0,,8,2,0,2,0,,11,3,0,3,0,,15,15,,10,8,
050534,JOHN F KENNEDY MEMORIAL HOSPITAL,47111 MONROE STREET,INDIO,CA,92201,RIVERSIDE,(760) 347-6191,Acute Care Hospitals,Proprietary,Yes,Y,2,,8,5,0,5,0,,8,5,1,4,0,,11,7,0,7,0,,15,15,,10,8,
050537,SUTTER DAVIS HOSPITAL,2000 SUTTER PLACE,DAVIS,CA,95616,YOLO,(530) 757-5108,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,,8,5,0,5,0,,8,2,1,1,0,,11,8,1,7,0,,15,15,,10,9,
050541,KAISER FOUNDATION HOSPITAL - REDWOOD CITY,1100 VETERANS BOULEVARD,REDWOOD CITY,CA,94063,SAN MATEO,(650) 299-2000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,,8,2,0,2,0,,8,6,2,4,0,,11,1,0,1,0,,15,15,,10,3,
050543,COLLEGE HOSPITAL COSTA MESA,301 VICTORIA STREET,COSTA MESA,CA,92627,ORANGE,(949) 642-2734,Acute Care Hospitals,Proprietary,No,,Not Available,16,8,Not Available,Not Available,Not Available,Not Available,5.0,8,1,1,0,0,,11,Not Available,Not Available,Not Available,Not Available,5.0,15,Not Available,5.0,10,2,
050546,PORTERVILLE DEVELOPMENTAL CENTER,26501 AVENUE 140,PORTERVILLE,CA,93258,TULARE,(559) 782-2222,Acute Care Hospitals,Government - State,No,,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,19.0,Not Available,Not Available,19.0
050549,LOS ROBLES HOSPITAL & MEDICAL CENTER,215 W JANSS RD,THOUSAND OAKS,CA,91360,VENTURA,(805) 497-2727,Acute Care Hospitals,Proprietary,Yes,Y,4,,8,8,3,5,0,,8,8,1,7,0,,11,9,0,7,2,,15,15,,10,8,
050551,UCI HEALTH - LOS ALAMITOS,3751 KATELLA AVENUE,LOS ALAMITOS,CA,90720,ORANGE,(562) 799-3220,Acute Care Hospitals,Proprietary,Yes,,1,,8,7,0,7,0,,8,6,0,6,0,,11,8,0,7,1,,15,15,,10,8,
050557,MEMORIAL MEDICAL CENTER,1700 COFFEE RD,MODESTO,CA,95355,STANISLAUS,(209) 526-4500,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,,8,8,1,7,0,,8,7,2,5,0,,11,11,0,9,2,,15,15,,10,7,
050561,KAISER FOUNDATION HOSPITAL - WEST LA,6041 CADILLAC AVE,LOS ANGELES,CA,90034,LOS ANGELES,(213) 857-2201,Acute Care Hospitals,Voluntary non-profit - Private,No,Y,3,,8,3,0,3,0,,8,6,1,5,0,,11,3,0,2,1,,15,15,,10,4,
050567,PROVIDENCE MISSION HOSPITAL,27700 MEDICAL CENTER RD,MISSION VIEJO,CA,92691,ORANGE,(949) 364-1400,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,5,,8,8,0,8,0,,8,7,3,4,0,,11,11,2,9,0,,15,15,,10,10,
050570,UCI HEALTH - FOUNTAIN VALLEY,17100 EUCLID STREET,FOUNTAIN VALLEY,CA,92708,ORANGE,(714) 966-7200,Acute Care Hospitals,Proprietary,No,Y,2,,8,8,0,8,0,,8,7,2,5,0,,11,8,1,6,1,,15,15,,10,7,
050573,EISENHOWER MEDICAL CENTER,39-000 BOB HOPE DRIVE,RANCHO MIRAGE,CA,92270,RIVERSIDE,(760) 340-3911,Acute Care Hospitals,Proprietary,Yes,Y,4,,8,8,0,8,0,,8,8,5,3,0,,11,11,4,7,0,,15,15,,10,9,
050580,LA PALMA INTERCOMMUNITY HOSPITAL,7901 WALKER STREET,LA PALMA,CA,90623,ORANGE,(714) 670-7400,Acute Care Hospitals,Proprietary,No,,3,,8,5,1,4,0,,8,3,1,2,0,,11,5,1,4,0,,15,10,,10,6,
050581,UCI HEALTH-LAKEWOOD,3700 SOUTH ST,LAKEWOOD,CA,90712,LOS ANGELES,(562) 602-6751,Acute Care Hospitals,Proprietary,Yes,,2,,8,8,0,8,0,,8,6,1,5,0,,11,8,0,6,2,,15,15,,10,7,
050586,CHINO VALLEY MEDICAL CENTER,5451 WALNUT AVE,CHINO,CA,91710,SAN BERNARDINO,(909) 627-6111,Acute Care Hospitals,Proprietary,Yes,,4,,8,3,1,2,0,,8,3,1,2,0,,11,3,0,3,0,,15,15,,10,6,
050588,SAN DIMAS COMMUNITY HOSPITAL,1350 W COVINA BLVD,SAN DIMAS,CA,91773,LOS ANGELES,(909) 599-6811,Acute Care Hospitals,Proprietary,Yes,,2,,8,3,0,3,0,,8,5,0,5,0,,11,5,0,3,2,,15,15,,10,7,
050590,METHODIST HOSPITAL OF SACRAMENTO,7500 HOSPITAL DRIVE,SACRAMENTO,CA,95823,SACRAMENTO,(916) 423-6010,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,,8,6,0,6,0,,8,3,1,2,0,,11,6,1,3,2,,15,15,,10,8,
050597,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL,250 S GRAND AVE,GLENDORA,CA,91740,LOS ANGELES,(626) 963-8411,Acute Care Hospitals,Voluntary non-profit - Private,No,,3,,8,6,0,6,0,,8,6,2,4,0,,11,6,1,5,0,,15,15,,10,7,
050599,UNIVERSITY OF CALIFORNIA DAVIS MEDICAL CENTER,2315 STOCKTON BOULEVARD,SACRAMENTO,CA,95817,SACRAMENTO,(916) 734-2011,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,4,,8,8,4,4,0,,8,8,0,7,1,,11,11,0,9,2,,15,15,,10,9,
050603,MEMORIALCARE SADDLEBACK MEDICAL CENTER,24451 HEALTH CENTER DRIVE,LAGUNA HILLS,CA,92653,ORANGE,(949) 837-4500,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,,8,8,0,8,0,,8,6,0,6,0,,11,7,2,5,0,,15,15,,10,7,
050604,KAISER FOUNDATION HOSPITAL-SAN JOSE,250 HOSPITAL PARKWAY,SAN JOSE,CA,95119,SANTA CLARA,(408) 972-7000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,,8,3,0,3,0,,8,6,1,5,0,,11,2,0,2,0,,15,15,,10,4,
050608,ADVENTIST HEALTH DELANO,1401 GARCES HIGHWAY,DELANO,CA,93215,KERN,(661) 725-4800,Acute Care Hospitals,Proprietary,Yes,Y,2,,8,3,0,3,0,,8,2,0,2,0,,11,4,0,3,1,,15,5,,10,7,
050609,KAISER FOUNDATION HOSPITAL - ORANGE COUNTY - ANAHEIM,3440 E LA PALMA AVE,ANAHEIM,CA,92806,ORANGE,(714) 279-4000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,,8,2,0,2,0,,8,7,1,6,0,,11,2,0,2,0,,15,15,,10,4,
